Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category45,3765.72,9522.5,-60.454502494092935,5513.51,15548.42,-64.53974101548582,190,415,-54.21686746987952,1727,5971,-71.07687154580472
category46,51387.6,47226.0,8.812095032397405,62475.36,78915.75,-20.83283755143935,740,644,14.906832298136646,45300,42900,5.594405594405594
category47,262805.38,324590.2,-19.034715157758924,527282.95,689348.79,-23.509991219394188,18391,21688,-15.201954998155662,137627,177717,-22.558337131506832
category48,261512.67,80503.46,224.84649728098643,429500.55,128590.81,234.00563383961887,18829,5684,231.26319493314568,131504,44090,198.2626445906101
category49,107938.91,8217.26,1213.5632802174937,188002.91,10957.26,1615.783964239235,3985,274,1354.3795620437957,59945,2427,2369.921714050268
category50,575942.9,429805.72,34.00075271217891,978385.34,800610.0700000001,22.204975513235787,28236,20555,37.368036973972266,236269,134380,75.82155082601577
category51,7184.1900000000005,23621.44,-69.58614716122304,16032.09,42345.12,-62.13946258742448,973,3104,-68.65335051546391,8637,24430,-64.64592713876381
category52,9286.9,8049.26,15.375823367613908,12200.82,13211.33,-7.648813556243014,178,153,16.33986928104575,7145,4893,46.024933578581646
category53,7907.08,13478.94,-41.33752357381218,14398.56,22089.43,-34.816969020929925,144,215,-33.02325581395349,4260,6886,-38.135347081033984
category54,10015.39,22284.7,-55.057101957845525,18453.36,60313.63,-69.4043286733032,198,596,-66.77852348993288,8156,15036,-45.756850226123966
category55,429.19,4106.86,-89.54943679599499,1758.98,11287.56,-84.41664983397652,23,138,-83.33333333333334,1338,4999,-73.23464692938589
category56,15175.52,28553.04,-46.85147360841437,28795.62,51850.12,-44.46373508875197,418,410,1.951219512195122,13312,14868,-10.465429109496906
category57,3377.51,1053.35,220.64461005363836,9389.91,3488.42,169.1737233475327,111,31,258.06451612903226,7390,2353,214.067148321292
category58,370.62,3463.61,-89.29960359278326,717.48,9650.24,-92.56515900122692,9,148,-93.91891891891892,705,7665,-90.8023483365949
category59,20157.62,27411.1,-26.461834804148683,26977.15,40035.65,-32.61717993837992,449,619,-27.46365105008077,17538,12020,45.90682196339434
category60,1822.4,26098.25,-93.01715632274194,7334.77,48743.63,-84.95235172267638,136,922,-85.24945770065075,988,20217,-95.11302369293168
