Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category72,44804.990000000005,104160.8,-56.984786983202895,131017.37,210697.48,-37.81730564599064,2110,3730,-43.43163538873995,51809,77393,-33.0572532399571
category73,133564.95,131061.89,1.909830538839332,249619.1,247749.85,0.7544908705292859,7232,7096,1.9165727170236757,90331,91427,-1.198770603869754
category74,625549.09,499981.53,25.114439727403514,1108475.29,924572.41,19.890587044447944,35221,27801,26.689687421315774,336318,293840,14.456166621290498
category75,936.84,2768.4100000000003,-66.15963675900608,1696.35,4022.28,-57.826158298278585,51,122,-58.19672131147541,1171,2587,-54.73521453420951
category76,11864.43,40571.91,-70.75703362252356,17751.93,59947.0,-70.38729210802876,512,1693,-69.75782634376846,12493,41503,-69.89856154976749
category77,63.17999999999999,184.7,-65.79317812669193,285.86,756.97,-62.23628413279258,27,79,-65.82278481012658,301,1224,-75.40849673202614
category78,12120.88,9520.14,27.31829573934837,29104.83,23690.03,22.85687270130094,1016,798,27.31829573934837,9793,7753,26.312395201857345
category79,506512.91,654209.2,-22.57630892381213,1086281.47,1315703.87,-17.437236845704508,29850,37441,-20.274565316097327,384841,339254,13.437424466623826
category80,13842.73,33593.69,-58.793660357049205,29749.71,85546.44,-65.22390645361747,1882,4768,-60.52852348993289,58409,88099,-33.700723050204886
category81,703.4,251.75,179.4041708043694,447.57,332.75,34.50638617580766,13,5,160.0,382,524,-27.09923664122137
category82,16089.0,20727.0,-22.376610218555506,29635.05,37339.19,-20.63285250697726,1452,1761,-17.54684838160136,8872,13142,-32.491249429310606
category83,46337.0,22609.0,104.94935645097084,74215.08,35076.42,111.58111346596948,540,265,103.77358490566036,30357,11087,173.80716154054298
category84,95715.38,176233.87,-45.68843094690027,155592.82,302513.44,-48.56664219612854,5073,7576,-33.038542766631465,55540,86093,-35.488367230785315
category85,4872950.85,5879599.55,-17.121041857348946,10463690.36,14455040.16,-27.612166800095565,455922,643644,-29.165501426254263,2548687,3454584,-26.22304161658828
category86,2928.0,4987.360000000001,-41.29158512720157,6939.04,12011.79,-42.23142429229949,300,511,-41.29158512720157,1874,4444,-57.83078307830783
category87,1758.48,2116.71,-16.92390549484814,3642.84,4403.44,-17.272859400832065,208,248,-16.129032258064516,2231,3790,-41.13456464379947
category88,382.99,491.68,-22.105841197526846,528.8,632.84,-16.44017445167816,11,14,-21.428571428571427,182,219,-16.894977168949772
category89,1641.06,2092.57,-21.576817024042217,2658.19,3047.5,-12.774733388022982,54,71,-23.943661971830984,1987,1741,14.129810453762207
category90,2214680.7800000003,2901416.1300000004,-23.668971261974757,4131392.11,5799516.4,-28.763161873289985,140567,191963,-26.773909555487258,837641,1111746,-24.65536192619537
category91,144295.41,148405.77,-2.769676677665556,238512.97,281140.06,-15.162225546939128,6703,9313,-28.02534092129282,145244,424875,-65.81488673139158
category92,663.36,538.98,23.07692307692308,1017.42,762.1899999999999,33.486401028614914,32,26,23.07692307692308,657,528,24.431818181818183
category93,2561.09,2446.15,4.6988124195163845,4982.98,4583.33,8.719642705194687,202,185,9.18918918918919,4218,4272,-1.2640449438202246
category94,11879.88,7256.48,63.71408727096334,23552.22,12888.46,82.73882217115158,530,434,22.119815668202765,7050,5423,30.001843997787205
category95,19260.7,3328.43,478.67222684569,32142.34,6451.45,398.2188500259632,373,51,631.3725490196078,10102,4158,142.95334295334294
category96,49892.78,95543.56,-47.78007015857479,103017.84,158982.75,-35.20187567519118,2435,4630,-47.40820734341253,53842,94333,-42.923473227820594
category97,45043.0,20260.0,122.324777887463,86377.57,37660.15,129.36066372544985,803,362,121.82320441988948,44533,15131,194.3163042759897
category98,2619.32,4748.1,-44.8343547945494,4714.6,5139.04,-8.259130109903788,45,67,-32.83582089552239,2791,4522,-38.27952233524989
